,index,Date,State,Residents.Initiated,Month,Year,Population_Dec2021,Residents.Initiated.Rate,Prioritization?,Date_prioritized,Phase_state,Mono.Initiated.Coverage,Days,Days_since_last
27,4629,2022-07-03,New Jersey,10738.0,7,2022,12538.0,0.8564364332429415,yes,2020-12-01,1A,0.8564364332429415,565,7.0
28,4630,2022-07-10,New Jersey,10766.0,7,2022,12538.0,0.8586696442813846,yes,2020-12-01,1A,0.8586696442813846,572,7.0
29,4631,2022-07-17,New Jersey,10766.0,7,2022,12538.0,0.8586696442813846,yes,2020-12-01,1A,0.8586696442813846,579,7.0
30,4632,2022-07-24,New Jersey,10795.0,7,2022,12538.0,0.860982612856915,yes,2020-12-01,1A,0.860982612856915,586,7.0
31,4633,2022-07-31,New Jersey,10795.0,7,2022,12538.0,0.860982612856915,yes,2020-12-01,1A,0.860982612856915,593,7.0
32,4634,2022-08-07,New Jersey,10907.0,8,2022,12538.0,0.8699154570106875,yes,2020-12-01,1A,0.8699154570106875,600,7.0
33,4635,2022-08-14,New Jersey,10999.0,8,2022,12538.0,0.8772531504227149,yes,2020-12-01,1A,0.8772531504227149,607,7.0
34,4636,2022-08-21,New Jersey,10999.0,8,2022,12538.0,0.8772531504227149,yes,2020-12-01,1A,0.8772531504227149,614,7.0
35,4637,2022-08-28,New Jersey,10999.0,8,2022,12538.0,0.8772531504227149,yes,2020-12-01,1A,0.8772531504227149,621,7.0
36,4638,2022-09-04,New Jersey,10999.0,9,2022,12538.0,0.8772531504227149,yes,2020-12-01,1A,0.8772531504227149,628,7.0
37,4639,2022-09-11,New Jersey,11129.0,9,2022,12538.0,0.887621630244058,yes,2020-12-01,1A,0.887621630244058,635,7.0
38,4640,2022-09-18,New Jersey,11129.0,9,2022,12538.0,0.887621630244058,yes,2020-12-01,1A,0.887621630244058,642,7.0
39,4641,2022-09-25,New Jersey,11129.0,9,2022,12538.0,0.887621630244058,yes,2020-12-01,1A,0.887621630244058,649,7.0
40,4642,2022-10-02,New Jersey,11129.0,10,2022,12538.0,0.887621630244058,yes,2020-12-01,1A,0.887621630244058,656,7.0
41,4643,2022-10-09,New Jersey,11129.0,10,2022,12538.0,0.887621630244058,yes,2020-12-01,1A,0.887621630244058,663,7.0
42,4644,2022-10-16,New Jersey,11349.0,10,2022,12538.0,0.9051682884032541,yes,2020-12-01,1A,0.9051682884032541,670,7.0
43,4645,2022-10-23,New Jersey,11393.0,10,2022,12538.0,0.9086776200350933,yes,2020-12-01,1A,0.9086776200350933,677,7.0
44,4646,2022-10-30,New Jersey,11393.0,10,2022,12538.0,0.9086776200350933,yes,2020-12-01,1A,0.9086776200350933,684,7.0
45,4647,2022-11-06,New Jersey,11393.0,11,2022,12538.0,0.9086776200350933,yes,2020-12-01,1A,0.9086776200350933,691,7.0
46,4648,2022-11-13,New Jersey,11393.0,11,2022,12538.0,0.9086776200350933,yes,2020-12-01,1A,0.9086776200350933,698,7.0
47,4649,2022-11-20,New Jersey,11501.0,11,2022,12538.0,0.9172914340405168,yes,2020-12-01,1A,0.9172914340405168,705,7.0
48,4650,2022-11-27,New Jersey,11501.0,11,2022,12538.0,0.9172914340405168,yes,2020-12-01,1A,0.9172914340405168,712,7.0
49,4651,2022-12-04,New Jersey,11501.0,12,2022,12538.0,0.9172914340405168,yes,2020-12-01,1A,0.9172914340405168,719,7.0
50,4652,2022-12-11,New Jersey,11676.0,12,2022,12538.0,0.9312490030307864,yes,2020-12-01,1A,0.9312490030307864,726,7.0
51,4653,2022-12-18,New Jersey,11676.0,12,2022,12538.0,0.9312490030307864,yes,2020-12-01,1A,0.9312490030307864,733,7.0
52,4654,2023-01-01,New Jersey,11676.0,1,2023,12538.0,0.9312490030307864,yes,2020-12-01,1A,0.9312490030307864,747,14.0
53,4655,2023-01-08,New Jersey,11676.0,1,2023,12538.0,0.9312490030307864,yes,2020-12-01,1A,0.9312490030307864,754,7.0
54,4656,2023-01-15,New Jersey,11676.0,1,2023,12538.0,0.9312490030307864,yes,2020-12-01,1A,0.9312490030307864,761,7.0
0,4410,2021-03-07,New Hampshire,331.0,3,2021,2189.0,0.15121059844677937,no,,,0.15121059844677937,0,
1,4411,2021-03-14,New Hampshire,358.0,3,2021,2189.0,0.163544997715852,no,,,0.163544997715852,7,7.0
2,4412,2021-03-21,New Hampshire,358.0,3,2021,2189.0,0.163544997715852,no,,,0.163544997715852,14,7.0
3,4413,2021-03-28,New Hampshire,385.0,3,2021,2189.0,0.17587939698492464,no,,,0.17587939698492464,21,7.0
4,4414,2021-04-04,New Hampshire,489.0,4,2021,2189.0,0.2233896756509822,no,,,0.2233896756509822,28,7.0
5,4415,2021-04-11,New Hampshire,489.0,4,2021,2189.0,0.2233896756509822,no,,,0.2233896756509822,35,7.0
6,4416,2021-04-18,New Hampshire,1268.0,4,2021,2189.0,0.5792599360438556,no,,,0.5792599360438556,42,7.0
7,4417,2021-04-25,New Hampshire,1268.0,4,2021,2189.0,0.5792599360438556,no,,,0.5792599360438556,49,7.0
8,4418,2021-05-02,New Hampshire,1409.0,5,2021,2189.0,0.6436729100045683,no,,,0.6436729100045683,56,7.0
9,4419,2021-05-09,New Hampshire,1409.0,5,2021,2189.0,0.6436729100045683,no,,,0.6436729100045683,63,7.0
10,4420,2021-05-16,New Hampshire,1477.0,5,2021,2189.0,0.6747373229785291,no,,,0.6747373229785291,70,7.0
11,4421,2021-05-23,New Hampshire,1538.0,5,2021,2189.0,0.702603928734582,no,,,0.702603928734582,77,7.0
